Mu_xi,Mu_yi,Mu_zi,Mu_xf,Mu_yf,Mu_zf,E (Ry),dE (Ry),dE (K),NN ion,NN dist (A),Multipl,Dist cluster,Bond order cluster
0.002,0.469,0.169,0.11855555,0.301448227,0.017728612,-1473.03731233,0.0,0.0,O,1.00169857998,4.0,2.0,3
0.035,0.701,0.515,0.19015203,0.623754462,0.49092315,-1473.03612657,0.0011857599999984814,187.21675872664798,O,1.00764346164,4.0,3.0,2
0.029,0.48,0.069,0.076998819,0.40199212399999995,0.996090741,-1473.0326875199999,0.0046248100002230785,730.1999881674722,O,0.992146689395,4.0,1.0,1
Structural information
A (Ang),B (Ang),C (Ang),alpha,beta,gamma,cell_volume (Ang^3),N_atoms,spg H-M
5.63650986769,5.58361122258,7.8232120963,90.0,89.815020544,90.0,246.211471859,21.0,14.0
Cartesian,Crystal,Axes
5.63650986769,0.0,0.0
0.0,5.58361122258,0.0
0.0252572007171,0.0,7.82317132482
Distances between final muon sites (Angstrom) 
0.0,1.46665568128,0.631620691822
1.46665568128,0.0,2.03649377871
1.46665568128,0.631620691822,0.0
 
X,0.00200011123891,0.468999863721,0.168999946684,0.11855555,0.301448227,0.017728612,1.00169857998,Final,Energy,-1473.03731233,Ry,-20041.693467054025,eV,-232574273.96622318,K
O,0.566,0.491,0.242,0.554632637,0.488129951,0.250153948,2.8839101254110497,0.09225424042694264,3.1969387764465376,2.7393189950536363,1.8924243690175135,3.1325105198679144,2.725527872481585,1.9569971927841252,-0.08455010727323797
O,0.434,0.509,0.758,0.443162685,0.515572216,0.752101729,2.567554072478608,0.07809871496412718,2.4648311102149236,2.844291100225537,5.930744701198587,2.5168868313232773,2.8787548113086308,5.883820679660378,-0.017530739480851487
O,0.241,0.282,0.035,0.22873983200000003,0.27643652,0.03242969,4.082756374700209,0.08073789692924324,1.3604201305517016,1.5756947882773764,0.27694033028214415,1.290113403391142,1.5435140554032776,0.2537030208808034,0.031477639349419384
O,0.759,0.718,0.965,0.767076299,0.725279948,0.972544058,4.488482539802669,0.08832738932862161,4.301349192458773,4.007915307001796,7.546228739933957,4.348196869063317,4.04968125716587,7.608378786669724,0.03192789282625519
O,0.259,0.782,0.465,0.265699257,0.786681749,0.480499885,1.0076434616381438,0.13282455943089463,1.4704645309535358,4.367499835916963,3.634644204825906,1.5097525659582414,4.392525042316164,3.7590329219113303,0.020575589509818526
O,0.741,0.218,0.535,0.689297499,0.19881685,0.527680752,3.6922882360391114,0.31714569637341933,4.191305355707926,1.2161102593622097,4.188524865390194,3.898559893554955,1.1101159948982322,4.128136927705878,0.27808052823567975
O,0.282,0.765,0.036,0.271299226,0.774951713,0.030448235,3.7267300937755157,0.0971914107478698,1.5921088686630747,4.269227850024785,0.28554558989714557,1.5299498016283768,4.327029081665283,0.2382017589433821,0.05049779278334254
O,0.718,0.235,0.963,0.712731289,0.22881548500000004,0.97067986,5.111344018076038,0.07267221422366893,4.069661017998387,1.314381681603401,7.537623480318954,4.041833599515576,1.277616709946348,7.5937948463323375,0.07167807351842814
O,0.218,0.265,0.463,0.18769268200000003,0.300810946,0.473295603,1.8085131887204478,0.27436605857040547,1.2387763564931493,1.477423366036185,3.626038945210905,1.0698857762295904,1.6796113739608511,3.702672589553013,-0.21422436401629774
O,0.782,0.735,0.536,0.806489002,0.70769872,0.526636066,2.2294266284867854,0.21999738571479757,4.422993530168312,4.106186729242988,4.197130125005196,4.559084570779819,3.951514515198312,4.119964170147238,-0.17789714420352887
X,0.035,0.701,0.515,0.19015203,0.623754462,0.49092315,0.0,0.9925807908209301,0.21028691014375656,3.9141102551797617,4.028932161345449,1.084193137992402,3.4828024141582645,3.8405759097703305,0.0
 
X,0.0290000112389,0.479999899053,0.0689999466838,0.076998819,0.401992124,0.996090741,0.992146689395,Final,Energy,-1473.0326875199999,Ry,-20041.630543308922,eV,-232573543.76623502,K
